Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Notes
Tue Nov 24 2015,8:00 pm,Dallas Mavericks,96,Memphis Grizzlies,110,Box Score,,
Tue Nov 24 2015,10:00 pm,Chicago Bulls,93,Portland Trail Blazers,88,Box Score,,
Tue Nov 24 2015,7:00 pm,Indiana Pacers,123,Washington Wizards,106,Box Score,,
Wed Nov 25 2015,7:30 pm,Philadelphia 76ers,80,Boston Celtics,84,Box Score,,
Wed Nov 25 2015,7:00 pm,Washington Wizards,87,Charlotte Hornets,101,Box Score,,
Wed Nov 25 2015,7:30 pm,Miami Heat,81,Detroit Pistons,104,Box Score,,
Wed Nov 25 2015,8:00 pm,Memphis Grizzlies,102,Houston Rockets,93,Box Score,,
Wed Nov 25 2015,10:30 pm,Utah Jazz,102,Los Angeles Clippers,91,Box Score,,
Wed Nov 25 2015,8:00 pm,Sacramento Kings,129,Milwaukee Bucks,118,Box Score,,
Wed Nov 25 2015,8:00 pm,Atlanta Hawks,95,Minnesota Timberwolves,99,Box Score,,
Wed Nov 25 2015,8:00 pm,Brooklyn Nets,99,Oklahoma City Thunder,110,Box Score,,
Wed Nov 25 2015,7:00 pm,New York Knicks,91,Orlando Magic,100,Box Score,,
Wed Nov 25 2015,9:00 pm,New Orleans Pelicans,120,Phoenix Suns,114,Box Score,,
Wed Nov 25 2015,8:30 pm,Dallas Mavericks,83,San Antonio Spurs,88,Box Score,,
Wed Nov 25 2015,7:30 pm,Cleveland Cavaliers,99,Toronto Raptors,103,Box Score,,
Fri Nov 27 2015,7:30 pm,Washington Wizards,78,Boston Celtics,111,Box Score,,
Fri Nov 27 2015,7:00 pm,Cleveland Cavaliers,95,Charlotte Hornets,90,Box Score,,
Fri Nov 27 2015,9:00 pm,San Antonio Spurs,91,Denver Nuggets,80,Box Score,,
Fri Nov 27 2015,8:00 pm,Philadelphia 76ers,114,Houston Rockets,116,Box Score,,
Fri Nov 27 2015,8:00 pm,Chicago Bulls,92,Indiana Pacers,104,Box Score,,
Fri Nov 27 2015,10:30 pm,New Orleans Pelicans,90,Los Angeles Clippers,111,Box Score,,
Fri Nov 27 2015,8:00 pm,Atlanta Hawks,116,Memphis Grizzlies,101,Box Score,,
Fri Nov 27 2015,7:30 pm,Miami Heat,97,New York Knicks,78,Box Score,,
